Segment,Sex,#,city,run_frequency,where_run_1,where_run_2,where_run_3,where_run_4,running_experience,why_run_1,why_run_2,why_run_3,why_run_4,why_run_5,why_run_6,why_run_7,why_run_8,why_run_9,why_run_10,why_run_11,why_run_12,why_run_13,why_run_14,why_run_15,interest_buy_shoes_1,interest_buy_shoes_2,interest_buy_shoes_3,interest_buy_shoes_4,interest_buy_shoes_5,interest_buy_shoes_6,type_shoes,three_words_1,three_words_2,three_words_3,expected_spending,difference_easy_to_tell,difference_running_shoes_trainers_1,difference_running_shoes_trainers_2,difference_running_shoes_trainers_3,difference_running_shoes_trainers_4,difference_running_shoes_trainers_5,difference_running_shoes_trainers_6,difference_running_shoes_trainers_7,difference_running_shoes_trainers_8,confidence_right_shoes,more_confident_if_1,more_confident_if_2,more_confident_if_3,more_confident_if_4,more_confident_if_5,more_confident_if_6,more_confident_if_7,more_confident_if_8,more_confident_if_9,more_confident_if_10,know_which_features, most_important_choosing_1, most_important_choosing_2, most_important_choosing_3, most_important_choosing_4, most_important_choosing_5, most_important_choosing_6, most_important_choosing_7, most_important_choosing_8, most_important_choosing_9, most_important_choosing_10, most_important_choosing_11,too_expensive,is_a_hassle,need_expert_advice,benefits_over_trainers,thanks,Score,Start Date (UTC),Submit Date (UTC),Network ID
Young Professional,Male,3j0ogvgx8hful3jxo9calpsz4m77lp24,Angoulême,3 to 4 times a week,,Road,Trail,,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",,This helps me to maintain a relationship with a loved one.,,,,,,,,,,,I need to replace old shoes.,,,,Running Shoes,Cushioning,Support,Comfort,Between 100 and 150 €,Totally Agree,Design / Style,,,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,Totally Agree,,,,Shock absorption,,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,Agree,Totally Agree,Agree,0,0,25/02/2020 12:25,25/02/2020 12:30,abfd9be62e
Young Professional,Male,3scip5fq66ydmcesr1ka3dg3scip5hnq,Montbeliard,3 to 4 times a week,,Road,Trail,,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,I like to measure myself against others.,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,,,,Running Shoes,Nice,Reassuring,Préservante,Between 50 and 100 €,Agree,,,Durability,Technology,Footwear / Comfort,Price,,,Agree,,,I knew other people like me had bought them,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Neither agree nor disagree,,Protection against injuries,,Shock absorption,,,Bounce and cushioning,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1,0,25/02/2020 11:29,25/02/2020 11:34,e84de66f96
Young Professional,Male,bgc2v2jotcu5bgc2ms53zyhgmb9y8gto,bannalec,1 to 2 times per week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,This allows me to spend time with friends.,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,I want to race.,,,Running Shoes,Comfortable,Cushioned,Stylish,Between 50 and 100 €,Agree,,Color pallet,Durability,Technology,,,,,Agree,,,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Agree,,,Durability,Shock absorption,,,,,Fit and comfort,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,1,0,25/02/2020 11:09,25/02/2020 11:14,f14c8290b9
Young Professional,Male,uep7jfglr7177caibq19opn8uep7jfgl,Allauch,I do not practice running,Sports Hall,,,,Beginner,,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,,,"I set myself a goal of health, eg. losing weight.",,I am not sure),I,Dunno,,Between 50 and 100 €,not agree at all,,,,,,,"Benefits (eg. Speed, movement and comfort)",,not agree at all,I saw a respected professional adopt the,,,,,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,not agree at all,,,,,Lightness,,Bounce and cushioning,,Fit and comfort,,,Neither agree nor disagree,Totally Agree,Totally Agree,not agree at all,0,0,24/02/2020 23:22,24/02/2020 23:29,00ffd6e6ec
Young Professional,Male,eelc1l7sqwg98f9teelc1lanqv1wzghk,Brest,1 to 2 times per week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,,I want to race.,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Legere,,,Between 50 and 100 €,Agree,,,,Technology,,Price,"Benefits (eg. Speed, movement and comfort)",,Agree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Disagree,,,,Shock absorption,Lightness,,,,Fit and comfort,,,Agree,Totally Agree,Agree,Agree,1,0,24/02/2020 22:15,24/02/2020 22:18,e14f65049a
Young Professional,Male,ulj0nnuk8vmc0m9qrqxuljzwi63wbmpl,Pleudihen,1 to 2 times per week,,Road,Trail,,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,I like to measure myself against others.,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,,I want to race.,,,Running Shoes,Pleasant,Slipper,Rebound,Between 150 and 200 €,Totally Agree,,,Durability,Technology,Footwear / Comfort,Price,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,I saw a respected professional adopt the,,,,,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,,Shock absorption,,,Bounce and cushioning,,Fit and comfort,,,Disagree,Disagree,Neither agree nor disagree,Totally Agree,1,0,24/02/2020 21:48,24/02/2020 21:53,ebdf0ded15
Young Professional,Male,g8m8by4o1l9wffg8m8bj31dygdcqap7s,Rouen,1 to 2 times per week,,Road,Trail,,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,I plan to run more often.,I need to replace old shoes.,,,,Running Shoes,Stable,Cushioned,Comfort,Between 100 and 150 €,Agree,,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Disagree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Neither agree nor disagree,,,,Shock absorption,,,Bounce and cushioning,,Fit and comfort,,,Agree,Agree,Agree,Totally Agree,1,0,24/02/2020 21:19,24/02/2020 21:26,473dc3d549
Young Professional,Male,yacj7u22aie01953oyay2dbe7iu0gwpj,Paris,3 to 4 times a week,Sports Hall,Road,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,,,,I need to replace old shoes.,,,,Running Shoes,Maintaining,Aesthetic,Lightness,Between 50 and 100 €,Agree,Design / Style,,,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Neither agree nor disagree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Agree,,,Durability,,Lightness,Maintenance / anti-pronation,,,,,,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,0,0,24/02/2020 20:36,24/02/2020 20:42,2285de7a86
Young Professional,Male,c7t2xdhp5ohn3vp27gc7t2xd0wg6zwco,Nimes,3 to 4 times a week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Running Shoes,Comfort,,,Between 100 and 150 €,Totally Agree,,,,Technology,,,,,Agree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Agree,,Protection against injuries,,,,Maintenance / anti-pronation,Bounce and cushioning,,,,,Agree,Neither agree nor disagree,Agree,Agree,1,0,24/02/2020 19:48,24/02/2020 19:51,6712230bb6
Young Professional,Male,cxp36u248x9eyqpkn5cxp0c10li2oprn,Saint Etienne,1 to 2 times per week,,Road,,,Beginner,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,I plan to run more often.,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Comfortable,Damper,,Between 100 and 150 €,Agree,,,Durability,Technology,Footwear / Comfort,,,,Agree,I saw a respected professional adopt the,I knew they were good value for money,,,,,I knew they were the most comfortable / provided the best footwear,,,,Neither agree nor disagree,,,,,Lightness,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Disagree,Neither agree nor disagree,Totally Agree,Neither agree nor disagree,1,0,24/02/2020 19:35,24/02/2020 19:40,932ee8aab7
Young Professional,Male,nfdcbmxdgd5yceifnfdcbqrmuk8pofje,Nancy,3 to 4 times a week,,Road,Trail,Track,Intermediate,,,,,,,,,,,I love discovering new environments.,,It's a way for me to contribute to a cause / charity which is of importance to me.,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Running Shoes,Dynamic,Flexible,Light,Between 100 and 150 €,Neither agree nor disagree,,,Durability,,Footwear / Comfort,,,,Agree,I saw a respected professional adopt the,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,,,,,Totally Agree,,,,,Lightness,Maintenance / anti-pronation,,,,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,1,0,24/02/2020 19:10,24/02/2020 19:15,3e6820ab51
Young Professional,Male,h66tovamcw9wmv0xkka2h66tomp76wnj,La Rochelle,3 to 4 times a week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Running Shoes,Lightweight,Beautiful,And,Between 100 and 150 €,Totally Agree,,,,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Agree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Neither agree nor disagree,,,,,Lightness,,Bounce and cushioning,Price,,,,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,1,0,24/02/2020 18:35,24/02/2020 18:40,bcbdabf1dd
Young Professional,Male,84aa47efnt33zud084ks17zf3lrl6psb,Paris,1 to 2 times per week,,Road,,Track,Intermediate,It helps me keep my mind and body in shape.,,I like to measure myself against others.,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,"I like to collect new equipment, clothes, shoes, etc.",,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,I want to race.,,,Running Shoes,Performance,,,Between 100 and 150 €,Totally Agree,,,Durability,Technology,Footwear / Comfort,Price,,,Agree,,I knew they were good value for money,I knew other people like me had bought them,,It was clear that they corresponded best to my needs,,,,,,Agree,,,,Shock absorption,Lightness,,,,Fit and comfort,,,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,1,0,24/02/2020 17:56,24/02/2020 18:25,f93d064ef5
Young Professional,Male,77qfcaoc0146xsyi3k77qlulbb61kc70,Paris,3 to 4 times a week,,Road,Trail,Track,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,I like to measure myself against others.,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,I love discovering new environments.,This allows me to spend time with friends.,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,I want to race.,,,Running Shoes,Lightweight,Flexible,Fast,Between 100 and 150 €,Totally Agree,,,Durability,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Agree,,,,Shock absorption,Lightness,,,,,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,Agree,Disagree,Agree,1,0,24/02/2020 17:37,24/02/2020 17:41,178675d7a3
