Segment,Sex,last_buy_shoes,run_frequency,where_run_1,where_run_2,where_run_3,where_run_4,running_experience,why_run_1,why_run_2,why_run_3,why_run_4,why_run_5,why_run_6,why_run_7,why_run_8,why_run_9,why_run_10,why_run_11,why_run_12,why_run_13,why_run_14,why_run_15,interest_buy_shoes_1,interest_buy_shoes_2,interest_buy_shoes_3,interest_buy_shoes_4,interest_buy_shoes_5,interest_buy_shoes_6,three_words_1,three_words_2,three_words_3,recent_spending,online_offline,online_search_1,online_search_2,online_search_3,online_search_4,online_search_5,online_search_6,where_usually,where_bought, most_important_choosing_1, most_important_choosing_2, most_important_choosing_3, most_important_choosing_4, most_important_choosing_5, most_important_choosing_6, most_important_choosing_7, most_important_choosing_8, most_important_choosing_9, most_important_choosing_10, most_important_choosing_11,confidence_right_shoes,more_confident_if_1,more_confident_if_2,more_confident_if_3,more_confident_if_4,more_confident_if_5,more_confident_if_6,more_confident_if_7,more_confident_if_8,more_confident_if_9,most_frustrating_online_1,most_frustrating_online_2,most_frustrating_online_3,most_frustrating_online_4,most_frustrating_online_5,most_frustrating_online_6,most_frustrating_online_7,most_frustrating_online_8,most_frustrating_online_9,most_frustrating_online_10,most_frustrating_online_11,most_frustrating_offline_1,most_frustrating_offline_2,most_frustrating_offline_3,most_frustrating_offline_4,most_frustrating_offline_5,most_frustrating_offline_6,most_frustrating_offline_7,most_frustrating_offline_8,most_frustrating_offline_9,most_frustrating_offline_10,most_frustrating_offline_11,most_frustrating_offline_12,most_frustrating_offline_13,need_expert_advice,age,occupation,parent
Mature Family,Female,0 to 3 months,3 to 4 times a week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,This helps me to spend time with my kids or show them an example.,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,Sales,Price,comfort,quality,<50 €,At the store,,Visit store,,,,Advice from store employee,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,,Price,,Adaptation to a given surface (eg. Track rather than road),,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,,,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,,,,,,,,,Staff poor knowledge about products,,,,,,,,,Agree,37-45 years,Employed part time,Yes
Full Time Student,Male,0 to 3 months,I do not practice running,,Road,,Track,Beginner,,,,,,,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,,,,I need to replace old shoes.,,,,Comfortable,nice,looking,Between 50 and 100 €,At the store,,Visit store,,,,,no preference,"Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,,,,Price,Fit and comfort,,,Neither agree nor disagree,,I knew they were good value for money,,,,,I knew they were the most comfortable,,,,,Finding a suitable product for my personal needs,,Identify running shoes compared with running shoes,,,,,,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,,,,Not knowing exactly where to find the radius of running shoes,No system / tool to choose the right pair of shoes,Identify running shoes compared with running shoes,,,,,Neither agree nor disagree,16-22 years,Student,No
Mature Family,Female,0 to 3 months,I do not practice running,,,,Track,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Sturdy,comfortable,and,<50 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,,,,,Price,Fit and comfort,,,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable,,,,Differentiate between different brands of running shoes,,,,,,,,,Not being able to try them on,,,,,Staff poor knowledge about products,,,,,Limited product selection,,,,Agree,37-45 years,Woman / Husband,Yes
Mature Family,Male,4 to 6 months,3 to 4 times a week,,,,Track,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,This helps me to improve my sex life.,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,This helps me to maintain a relationship with a loved one.,This helps me to improve my physical appearance.,This helps me to spend time with my kids or show them an example.,"I like to collect new equipment, clothes, shoes, etc.",I love discovering new environments.,,,,I like to improve myself and learn new skills.,,I plan to run more often.,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Light,comfortable,sturdy,Between 150 and 200 €,At the store,,Visit store,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Store brand, eg. Nike",,,Durability,,Lightness,,,,Fit and comfort,,,Strongly Agree,,,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable,,I knew they were best suited to help me achieve my goals,,,,,,,,,,no frustration,,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,Presentation of unclear shoes,Not knowing exactly where to find the radius of running shoes,No system / tool to choose the right pair of shoes,,,,,,Strongly Agree,37-45 years,Employee,Yes
Young Family,Female,0 to 3 months,I do not practice running,,Road,,,Beginner,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,,I plan to run more often.,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Comfortable,flexible,support,Between 50 and 100 €,At the store,,Visit store,,,,,"Store brand, eg. Nike, Adidas","Multibrand store, eg. Go Sport and Decathlon",,,,,,Maintenance / anti-pronation,,Price,Fit and comfort,,,Agree,,,,,,,I knew they were the most comfortable,,I knew they were best suited to help me achieve my goals,Differentiate between the different models of running shoes,,,,,,Product images will not have the advantages,,,,,Differentiate between the different models of running shoes,,,,,Presentation of unclear shoes,,,,,,,,Agree,31-36 years,Employee,Yes
Retired,Male,4 to 6 months,1 to 2 times per week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,I need 2 pairs per year (between 1500 and 2000 km),Comfortable,durable,cushioning,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,,Price,Fit and comfort,,,Strongly Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,,,,,,,,,,,,Trying the shoes on and going to the shop are a must for me,,,,,,,,,,,,no frustration,"Given how long I have been running, I know what I need",Neither agree nor disagree,55+,Retirement,Yes
Young Professional,Male,7 to 12 months,3 to 4 times a week,,Road,Trail,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Comfort,cushioning,stability,Between 100 and 150 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,Maintenance / anti-pronation,,,,,,Strongly Disagree,,,,I had a positive shopping experience this brand in the past,,,,,,,Differentiate between different brands of running shoes,,,,,,Too many options to choose from,,,,,,,,,,,,,,,no frustration,,Strongly Agree,23-30 years,Employee,No
Mature Family,Male,4 to 6 months,1 to 2 times per week,,,,Track,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,I like to measure myself against others.,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,This allows me to spend time with friends.,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Design,sturdiness,comfort,Between 50 and 100 €,At the store,,,,,no research,,no preference,"Multibrand store, eg. Go Sport and Decathlon",,,,,,Maintenance / anti-pronation,,,Fit and comfort,Adaptation to a given surface (eg. Track rather than road),,Strongly Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,,Making the difference between products with different prices,,Differences in language different websites in terms of product description,,,,,,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,Presentation of unclear shoes,,,,Limited product selection,,,,Disagree,37-45 years,Employee,Yes
Mature Family,Female,More than 12 months,1 to 2 times per month,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Comfortable,and,cushioning,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,Bounce and cushioning,Price,,,,Agree,,,,,It was clear that they corresponded best to my needs,,,,,,Differentiate between different brands of running shoes,,,,,,Too many options to choose from,,,,,Differentiate between different brands of running shoes,,,Staff poor knowledge about products,Presentation of unclear shoes,,,,,,,,Strongly Agree,46-55 years,Employee,Yes
Mature Family,Female,More than 12 months,1 to 2 times per week,Sports Hall,,,Track,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfortable,aesthetics,,Between 50 and 100 €,At the store,,Visit store,Advice from friends or family members,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,Shock absorption,Lightness,,,,,,,Strongly Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,,,,,,,,,,I never buy my shoes online because I need to try them on to see if they are comfortable.,,,Finding a suitable product for my personal needs,,,,,,,,,,,Neither agree nor disagree,37-45 years,Employee,Yes
